,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-mar,PPA,CrsPA,Prog,Matches
Natthakarn Chinwong,CBR,27,3,21,45,46.7,455,270,0,0,,13,20,65,8,25,32,0,0,0,0,0,0,0,0,Matches
Suchawadee Nildhamrong,CMR,22,3,66,86,76.7,1333,375,0,3,0,45,56,80.4,21,27,77.8,0,0.1,-0.1,3,4,1,0,8,Matches
Ainon Phancha,DM,27,3,36,71,50.7,657,429,0,5,0,26,40,65,10,26,38.5,0,0.1,-0.1,1,3,1,0,5,Matches
Sunisa Srangthaisong,LB,31,3,77,113,68.1,1446,975,0,4,0,64,86,74.4,13,23,56.5,0,0,0,1,1,1,0,17,Matches
Kanjana Sungngoen,FW,32,3,63,74,85.1,1037,111,0,1,0,55,61,90.2,8,12,66.7,0,0,0,1,0,1,1,1,Matches
Silawan Intamee,LW,25,2.8,35,61,57.4,612,279,1,5,20,28,39,71.8,6,17,35.3,0,0.1,-0.1,2,5,0,0,8,Matches
Taneekarn Dangda,RW,26,1.3,18,26,69.2,403,189,1,3,33.3,12,16,75,5,7,71.4,1,0.1,0.9,1,3,0,0,0,Partidos
Pikul Khueanpet,CML,30,2.6,38,63,60.3,675,210,1,3,33.3,31,39,79.5,6,21,28.6,0,0,0,2,1,0,0,3,Matches
Waraporn Boonsing,GK,29,2,40,79,50.6,1287,637,0,0,,13,14,92.9,27,65,41.5,0,0,0,0,0,0,0,0,Matches
Pitsamai Sornsai,CBL,30,2,30,43,69.8,650,294,0,1,0,21,26,80.8,9,16,56.3,0,0,0,0,1,0,0,3,Matches
Warunee Phetwiset,RB,28,1.8,33,51,64.7,560,428,1,4,25,27,35,77.1,5,12,41.7,0,0,0,0,0,0,0,3,Matches
